,Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
329,328.0,LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",FRENTE DE TODOS,2.46,0.58,50.27,1.34,44.95,0.41,97,23,1985,53,1775,16,73.15,6882,5034,21.2,0.0,0.36,1067,0,18,LA RIOJA
330,329.0,LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",FRENTE DE TODOS,1.9,0.47,69.67,0.63,26.15,1.18,24,6,882,8,331,15,91.58,1722,1577,14.65,0.0,5.07,231,0,80,LA RIOJA
331,330.0,LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",FRENTE DE TODOS,1.56,0.07,78.29,0.37,19.19,0.53,68,3,3423,16,839,23,80.59,6351,5118,13.93,0.08,0.57,713,4,29,LA RIOJA
332,331.0,LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",FRENTE DE TODOS,2.04,0.43,60.35,0.3,36.73,0.13,61,13,1804,9,1098,4,83.78,3939,3300,8.79,0.0,0.64,290,0,21,LA RIOJA
333,332.0,LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",FRENTE DE TODOS,1.95,0.46,72.93,0.33,24.27,0.07,30,7,1121,5,373,1,87.75,2335,2049,24.84,0.0,0.15,509,0,3,LA RIOJA
334,333.0,LA RIOJA_GENERAL JUAN F. QUIROGA,"Juan Facundo Quiroga, La Rioja",FRENTE DE TODOS,2.35,0.41,70.07,0.9,25.99,0.27,52,9,1550,20,575,6,78.49,3514,2758,19.58,0.0,0.22,540,0,6,LA RIOJA
335,334.0,LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",FRENTE DE TODOS,2.96,1.06,72.44,1.19,21.2,1.15,240,86,5866,96,1717,93,77.03,12424,9570,14.98,0.01,0.39,1434,1,37,LA RIOJA
336,335.0,LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",FRENTE DE TODOS,1.27,0.37,65.67,0.16,32.04,0.49,31,9,1607,4,784,12,83.99,3316,2785,11.74,0.0,0.39,327,0,11,LA RIOJA
337,336.0,LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",FRENTE DE TODOS,3.66,0.89,66.29,0.25,27.57,1.34,74,18,1339,5,557,27,88.81,2860,2540,19.76,0.0,0.71,502,0,18,LA RIOJA
338,337.0,LA RIOJA_VINCHINA,"Vinchina, La Rioja",FRENTE DE TODOS,2.04,0.43,70.25,0.68,26.3,0.31,33,7,1138,11,426,5,76.1,2469,1879,11.34,2.29,0.16,213,43,3,LA RIOJA
