,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
73,73,BUENOS AIRES_LINCOLN,"Lincoln, Buenos Aires",JUNTOS POR EL CAMBIO,1.94,5.13,34.02,28.72,30.19,558,1477,9790,8263,8687,77.57,38491,29858,3.05,0.24,0.34,910,71,BUENOS AIRES
74,74,BUENOS AIRES_LOBERIA,"Loberia, Buenos Aires",UNION POR LA PATRIA,1.63,4.57,30.54,29.64,33.62,176,495,3306,3209,3640,76.23,14925,11378,3.68,0.25,0.92,419,28,BUENOS AIRES
75,75,BUENOS AIRES_LOBOS,"Lobos, Buenos Aires",JUNTOS POR EL CAMBIO,2.01,5.53,34.13,28.38,29.96,494,1356,8375,6963,7351,77.38,33027,25555,3.62,0.1,0.25,925,26,BUENOS AIRES
78,78,BUENOS AIRES_MAGDALENA,"Magdalena, Buenos Aires",JUNTOS POR EL CAMBIO,2.16,3.76,33.57,27.69,32.8,227,395,3523,2906,3442,70.59,15785,11143,5.32,0.41,0.1,593,46,BUENOS AIRES
79,79,BUENOS AIRES_MAIPU,"Maipu, Buenos Aires",JUNTOS POR EL CAMBIO,1.48,2.88,38.76,23.45,33.43,122,237,3188,1929,2750,83.63,10239,8563,3.29,0.19,0.46,282,16,BUENOS AIRES
81,81,BUENOS AIRES_MAR CHIQUITA,"Mar Chiquita, Buenos Aires",UNION POR LA PATRIA,2.98,3.66,25.37,28.31,39.68,687,844,5845,6524,9142,75.76,31556,23906,2.98,0.15,0.49,713,35,BUENOS AIRES
83,83,BUENOS AIRES_MERCEDES,"Mercedes, Buenos Aires",UNION POR LA PATRIA,2.88,3.42,30.25,28.53,34.91,1309,1552,13725,12947,15840,80.38,58248,46817,2.37,0.07,0.65,1108,31,BUENOS AIRES
85,85,BUENOS AIRES_MONTE,"Monte, Buenos Aires",UNION POR LA PATRIA,2.05,4.96,32.38,27.96,32.65,307,742,4842,4181,4882,77.4,20235,15661,3.82,0.17,0.52,599,26,BUENOS AIRES
86,86,BUENOS AIRES_MONTE HERMOSO,"Monte Hermoso, Buenos Aires",UNION POR LA PATRIA,2.23,3.7,22.38,29.49,42.21,141,234,1417,1867,2672,70.54,9312,6569,2.89,0.2,0.53,190,13,BUENOS AIRES
89,89,BUENOS AIRES_NAVARRO,"Navarro, Buenos Aires",UNION POR LA PATRIA,0.93,4.08,30.76,31.91,32.31,112,489,3686,3824,3872,81.56,15670,12780,5.34,0.22,0.67,683,28,BUENOS AIRES
90,90,BUENOS AIRES_NECOCHEA,"Necochea, Buenos Aires",LA LIBERTAD AVANZA,2.79,5.55,29.92,33.07,28.66,1691,3362,18124,20030,17361,74.07,86795,64290,5.0,0.11,0.68,3212,70,BUENOS AIRES
91,91,BUENOS AIRES_OLAVARRIA,"Olavarria, Buenos Aires",UNION POR LA PATRIA,3.11,6.58,25.73,31.73,32.85,2284,4834,18903,23314,24134,77.42,98239,76057,2.48,0.1,0.82,1890,75,BUENOS AIRES
92,92,BUENOS AIRES_PATAGONES,"Patagones, Buenos Aires",UNION POR LA PATRIA,2.31,4.4,27.12,31.56,34.6,485,922,5685,6616,7253,75.79,28615,21687,2.45,0.16,0.73,532,35,BUENOS AIRES
93,93,BUENOS AIRES_PEHUAJO,"Pehuajo, Buenos Aires",UNION POR LA PATRIA,1.97,4.72,28.94,28.66,35.7,534,1276,7828,7752,9655,78.83,36023,28398,3.73,0.21,0.82,1060,61,BUENOS AIRES
94,94,BUENOS AIRES_PELLEGRINI,"Pellegrini, Buenos Aires",JUNTOS POR EL CAMBIO,0.91,3.58,35.12,32.71,27.68,39,154,1510,1406,1190,86.04,5273,4537,4.47,0.18,0.6,203,8,BUENOS AIRES
95,95,BUENOS AIRES_PERGAMINO,"Pergamino, Buenos Aires",JUNTOS POR EL CAMBIO,1.96,6.12,31.79,30.71,29.42,1352,4220,21934,21187,20299,77.63,91853,71307,2.36,0.05,0.84,1682,34,BUENOS AIRES
96,96,BUENOS AIRES_PILA,"Pila, Buenos Aires",UNION POR LA PATRIA,1.12,3.95,24.93,30.8,39.2,31,109,688,850,1082,80.82,3618,2924,4.82,0.31,0.48,141,9,BUENOS AIRES
98,98,BUENOS AIRES_PINAMAR,"Pinamar, Buenos Aires",LA LIBERTAD AVANZA,2.61,4.08,28.27,36.25,28.78,551,862,5968,7653,6076,71.9,30263,21758,2.04,0.2,0.74,444,43,BUENOS AIRES
100,100,BUENOS AIRES_PUAN,"Puan, Buenos Aires",JUNTOS POR EL CAMBIO,1.93,6.44,36.39,33.84,21.41,201,671,3794,3528,2232,75.37,14365,10827,2.57,0.31,0.82,278,34,BUENOS AIRES
101,101,BUENOS AIRES_PUNTA INDIO,"Punta Indio, Buenos Aires",UNION POR LA PATRIA,2.63,4.15,29.3,28.2,35.72,190,300,2116,2037,2580,73.76,10168,7500,2.97,0.12,0.6,223,9,BUENOS AIRES
103,103,BUENOS AIRES_RAMALLO,"Ramallo, Buenos Aires",UNION POR LA PATRIA,1.66,4.96,26.44,27.98,38.97,391,1168,6229,6592,9182,79.59,30967,24648,4.06,0.02,0.33,1000,5,BUENOS AIRES
