,Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
304,300.0,LA PAMPA_CATRILO,"Catrilo, La Pampa",CAMBIEMOS,54.49,45.51,2723,2274,83.39,6098,5085,0.81,0.0,0.92,41,0,47,LA PAMPA
305,301.0,LA PAMPA_CHALILEO,"Chalileo, La Pampa",FRENTE PARA LA VICTORIA,33.89,66.11,627,1223,76.46,2451,1874,0.64,0.0,0.64,12,0,12,LA PAMPA
306,302.0,LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",CAMBIEMOS,54.54,45.46,4402,3669,81.16,10114,8209,0.78,0.0,0.9,64,0,74,LA PAMPA
307,303.0,LA PAMPA_CHICAL CO,"Chical-Co, La Pampa",FRENTE PARA LA VICTORIA,34.99,65.01,302,561,72.8,1202,875,0.57,0.0,0.8,5,0,7,LA PAMPA
308,304.0,LA PAMPA_CONHELO,"Conhelo, La Pampa",FRENTE PARA LA VICTORIA,47.88,52.12,4543,4946,80.5,12025,9680,0.93,0.03,1.01,90,3,98,LA PAMPA
309,305.0,LA PAMPA_CURACO,"Curaco, La Pampa",FRENTE PARA LA VICTORIA,35.95,64.05,211,376,76.53,784,600,0.5,0.0,1.67,3,0,10,LA PAMPA
310,306.0,LA PAMPA_GUATRACHE,"Guatrache, La Pampa",CAMBIEMOS,64.12,35.88,3619,2025,77.53,7449,5775,1.39,0.0,0.88,80,0,51,LA PAMPA
311,307.0,LA PAMPA_HUCAL,"Hucal, La Pampa",CAMBIEMOS,61.08,38.92,3387,2158,81.45,6987,5691,1.58,0.0,0.98,90,0,56,LA PAMPA
312,308.0,LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",FRENTE PARA LA VICTORIA,36.53,63.47,61,106,66.8,250,167,0.0,0.0,0.0,0,0,0,LA PAMPA
313,309.0,LA PAMPA_LIMAY MAHUIDA,"Limay Mahuida, La Pampa",CAMBIEMOS,52.1,47.9,161,148,67.61,460,311,0.64,0.0,0.0,2,0,0,LA PAMPA
314,310.0,LA PAMPA_LOVENTUE,"Loventue, La Pampa",FRENTE PARA LA VICTORIA,45.13,54.87,2625,3192,77.16,7645,5899,0.61,0.0,0.78,36,0,46,LA PAMPA
