,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
16,BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",Alianza Frente para la Victoria,7.08,17.52,5.7,0.98,58.15,9.09,1.48,546,1352,440,76,4487,701,114,84.7,10340,8758,11.62,0.11,0.16,1018,10,14,BUENOS AIRES
17,BUENOS AIRES_CARLOS CASARES,"Carlos Casares, Buenos Aires",Alianza Frente para la Victoria,5.15,31.17,8.62,1.06,43.82,8.84,1.33,698,4223,1168,144,5936,1198,180,82.2,17390,14295,4.89,0.03,0.31,699,4,45,BUENOS AIRES
18,BUENOS AIRES_CARLOS TEJEDOR,"Carlos Tejedor, Buenos Aires",Alianza Frente para la Victoria,6.35,13.77,0.07,1.25,50.02,27.12,1.42,464,1006,5,91,3654,1981,104,85.27,9128,7783,5.68,0.03,0.44,442,2,34,BUENOS AIRES
19,BUENOS AIRES_CARMEN DE ARECO,"Carmen De Areco, Buenos Aires",Alianza Frente para la Victoria,8.56,10.67,4.44,0.72,68.22,6.6,0.79,761,948,395,64,6063,587,70,84.76,11111,9418,5.53,0.01,0.08,521,1,8,BUENOS AIRES
20,BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",Alianza Frente para la Victoria,9.43,10.24,3.54,0.79,52.19,22.78,1.03,466,506,175,39,2579,1126,51,85.8,6079,5216,4.7,0.1,0.46,245,5,24,BUENOS AIRES
22,BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",Alianza Frente para la Victoria,8.65,14.07,5.21,1.97,54.29,14.76,1.05,2683,4364,1615,611,16836,4579,326,83.06,38391,31888,2.0,0.03,0.71,639,9,226,BUENOS AIRES
23,BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",Alianza Frente para la Victoria,6.59,21.33,5.61,1.57,41.04,22.33,1.53,1451,4696,1236,346,9034,4915,336,83.08,28711,23853,7.52,0.03,0.16,1793,8,38,BUENOS AIRES
24,BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",Alianza Frente para la Victoria,4.05,13.07,4.73,1.9,60.72,14.2,1.33,1698,5482,1985,795,25465,5956,558,84.35,51243,43223,2.74,0.03,0.21,1183,12,89,BUENOS AIRES
25,BUENOS AIRES_COLON,"Colon, Buenos Aires",Alianza Frente para la Victoria,4.68,26.22,6.86,1.1,51.67,7.62,1.84,653,3656,957,154,7203,1062,256,82.09,17712,14539,3.8,0.01,0.31,552,1,45,BUENOS AIRES
26,BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",Alianza Frente para la Victoria,6.07,13.82,6.22,1.15,45.5,25.81,1.44,585,1333,600,111,4388,2489,139,81.5,13058,10642,9.2,0.02,0.15,979,2,16,BUENOS AIRES
27,BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",Alianza Frente para la Victoria,6.08,11.58,7.29,1.59,50.69,21.2,1.56,851,1620,1020,223,7091,2965,218,80.7,18964,15304,8.05,0.03,0.52,1232,4,80,BUENOS AIRES
28,BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel Rosales, Buenos Aires",Alianza Frente para la Victoria,14.34,16.79,10.92,1.84,43.2,9.8,3.11,4676,5475,3559,601,14085,3195,1015,75.05,45558,34193,3.83,0.03,0.78,1310,9,268,BUENOS AIRES
29,BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",Alianza Frente para la Victoria,5.43,12.42,6.9,2.11,56.26,13.95,2.93,1338,3062,1702,521,13876,3441,722,82.68,31141,25747,3.42,0.03,0.77,880,8,197,BUENOS AIRES
30,BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",Alianza Frente para la Victoria,3.67,9.71,8.73,0.75,46.73,28.45,1.97,386,1021,918,79,4915,2992,207,85.43,13013,11117,4.84,0.13,0.42,538,14,47,BUENOS AIRES
31,BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",Alianza Frente para la Victoria,6.33,13.92,5.94,1.14,49.33,7.53,15.81,1038,2281,973,187,8086,1235,2592,83.83,21251,17815,7.45,0.04,0.49,1328,7,88,BUENOS AIRES
37,BUENOS AIRES_FLORENTINO AMEGHINO,"F. Ameghino, Buenos Aires",Alianza Frente para la Victoria,3.67,9.01,4.69,0.89,52.22,26.22,3.29,222,545,284,54,3159,1586,199,87.0,7168,6236,2.71,0.03,0.26,169,2,16,BUENOS AIRES
39,BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",Alianza Frente para la Victoria,7.49,16.56,4.63,2.12,52.27,15.34,1.59,1753,3874,1082,495,12226,3587,372,78.27,30805,24111,2.38,0.02,0.6,573,4,145,BUENOS AIRES
40,BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",Alianza Frente para la Victoria,2.52,9.17,13.38,0.54,41.48,32.08,0.84,145,527,769,31,2384,1844,48,83.74,7363,6166,6.7,0.02,0.06,413,1,4,BUENOS AIRES
41,BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",Alianza Frente para la Victoria,6.35,17.48,7.82,0.91,45.42,20.6,1.42,679,1870,837,97,4860,2204,152,82.91,13343,11063,3.21,0.01,0.07,355,1,8,BUENOS AIRES
42,BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",Alianza Frente para la Victoria,4.32,13.47,9.65,1.06,51.76,18.44,1.31,463,1442,1033,113,5543,1975,140,83.9,13577,11391,5.62,0.04,0.33,640,4,38,BUENOS AIRES
43,BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",Alianza Frente para la Victoria,2.0,4.55,3.37,0.39,48.46,38.83,2.4,41,93,69,8,991,794,49,89.67,2411,2162,4.81,0.23,0.37,104,5,8,BUENOS AIRES
