,Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
494,490.0,SANTIAGO DEL ESTERO_MITRE,"Mitre, Santiago Del Estero",FRENTE PARA LA VICTORIA,37.8,62.2,316,520,72.84,1160,845,0.71,0.0,0.36,6,0,3,SANTIAGO DEL ESTERO
495,491.0,SANTIAGO DEL ESTERO_MORENO,"Moreno, Santiago Del Estero",FRENTE PARA LA VICTORIA,22.98,77.02,4445,14895,78.8,24731,19488,0.46,0.02,0.29,89,3,56,SANTIAGO DEL ESTERO
496,492.0,SANTIAGO DEL ESTERO_OJO DE AGUA,"Ojo De Agua, Santiago Del Estero",FRENTE PARA LA VICTORIA,25.92,74.08,2527,7221,78.1,12600,9841,0.4,0.0,0.55,39,0,54,SANTIAGO DEL ESTERO
497,493.0,SANTIAGO DEL ESTERO_PELLEGRINI,"Pellegrini, Santiago Del Estero",FRENTE PARA LA VICTORIA,16.51,83.49,2065,10442,78.04,16087,12554,0.14,0.04,0.2,17,5,25,SANTIAGO DEL ESTERO
498,494.0,SANTIAGO DEL ESTERO_QUEBRACHOS,"Quebrachos, Santiago Del Estero",FRENTE PARA LA VICTORIA,29.46,70.54,1736,4157,75.35,7915,5964,0.7,0.0,0.49,42,0,29,SANTIAGO DEL ESTERO
499,495.0,SANTIAGO DEL ESTERO_RIO HONDO,"Rio Hondo, Santiago Del Estero",FRENTE PARA LA VICTORIA,18.94,81.06,6429,27523,78.28,43960,34412,0.5,0.04,0.8,172,13,275,SANTIAGO DEL ESTERO
500,496.0,SANTIAGO DEL ESTERO_RIVADAVIA,"Rivadavia, Santiago Del Estero",CAMBIEMOS,51.97,48.03,1674,1547,81.93,3963,3247,0.65,0.06,0.09,21,2,3,SANTIAGO DEL ESTERO
501,497.0,SANTIAGO DEL ESTERO_ROBLES,"Robles, Santiago Del Estero",FRENTE PARA LA VICTORIA,24.15,75.85,6617,20784,79.4,34867,27684,0.58,0.01,0.43,161,2,120,SANTIAGO DEL ESTERO
502,498.0,SANTIAGO DEL ESTERO_SALAVINA,"Salavina, Santiago Del Estero",FRENTE PARA LA VICTORIA,14.98,85.02,902,5119,73.2,8288,6067,0.46,0.0,0.3,28,0,18,SANTIAGO DEL ESTERO
503,499.0,SANTIAGO DEL ESTERO_SAN MARTIN,"San Martin, Santiago Del Estero",FRENTE PARA LA VICTORIA,12.78,87.22,683,4660,77.76,6896,5362,0.19,0.0,0.17,10,0,9,SANTIAGO DEL ESTERO
