,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
212,CORDOBA_ISCHILIN,"Ischilin, Cordoba",ALIANZA CAMBIEMOS,39.96,1.72,1.95,29.51,1.56,25.31,8065,347,394,5955,314,5108,76.95,26771,20599,1.27,0.01,0.73,262,3,151,CORDOBA
213,CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",ALIANZA CAMBIEMOS,46.45,3.62,1.7,19.36,1.61,27.27,18961,1478,693,7904,657,11131,81.31,51116,41560,1.16,0.01,0.59,483,6,247,CORDOBA
214,CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",ALIANZA CAMBIEMOS,46.95,1.9,1.81,19.84,1.8,27.69,32392,1310,1251,13687,1245,19104,81.1,86461,70121,1.24,0.01,0.36,871,8,253,CORDOBA
215,CORDOBA_MINAS,"Minas, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,28.66,1.8,1.46,36.58,0.97,30.52,941,59,48,1201,32,1002,71.83,4683,3364,1.84,0.0,0.56,62,0,19,CORDOBA
216,CORDOBA_POCHO,"Pocho, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,30.15,1.52,1.0,40.03,0.48,26.82,934,47,31,1240,15,831,73.5,4287,3151,1.49,0.03,0.16,47,1,5,CORDOBA
217,CORDOBA_PUNILLA,"Punilla, Cordoba",ALIANZA CAMBIEMOS,52.67,2.04,3.5,18.13,2.12,21.53,63454,2461,4221,21848,2556,25945,78.04,158258,123497,1.3,0.04,1.1,1609,49,1354,CORDOBA
218,CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",ALIANZA CAMBIEMOS,43.87,3.88,1.87,17.64,1.8,30.94,71326,6314,3039,28677,2924,50301,79.74,208267,166062,1.21,0.02,0.87,2004,32,1445,CORDOBA
219,CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",ALIANZA CAMBIEMOS,58.73,1.21,1.56,19.37,0.88,18.25,18771,388,498,6190,281,5834,81.79,39709,32479,1.15,0.0,0.44,374,0,143,CORDOBA
220,CORDOBA_RIO SECO,"Rio Seco, Cordoba",ALIANZA CAMBIEMOS,38.2,0.94,1.7,31.83,0.89,26.45,3512,86,156,2926,82,2432,76.77,12288,9434,2.04,0.29,0.22,192,27,21,CORDOBA
221,CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",ALIANZA CAMBIEMOS,57.47,1.77,2.25,18.57,1.58,18.36,40661,1252,1590,13138,1119,12986,82.51,87322,72050,1.06,0.01,0.74,765,6,533,CORDOBA
222,CORDOBA_PRESIDENTE ROQUE SAENZ PEÑA,"Roque Saenz Pena, Cordoba",ALIANZA CAMBIEMOS,49.96,3.76,1.56,16.59,1.63,26.5,11892,895,372,3948,388,6309,79.75,30223,24103,0.83,0.02,0.39,201,4,94,CORDOBA
223,CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",ALIANZA CAMBIEMOS,40.55,4.3,2.22,24.39,1.36,27.18,10111,1071,554,6081,340,6776,79.22,32049,25390,1.13,0.03,0.65,286,7,164,CORDOBA
224,CORDOBA_SAN JAVIER,"San Javier, Cordoba",ALIANZA CAMBIEMOS,35.65,5.25,2.55,31.62,1.69,23.24,12634,1859,905,11204,598,8237,79.53,45332,36053,1.08,0.01,0.62,391,3,222,CORDOBA
225,CORDOBA_SAN JUSTO,"San Justo, Cordoba",ALIANZA CAMBIEMOS,48.72,1.67,1.94,17.87,1.85,27.94,66598,2289,2646,24429,2535,38186,79.44,174713,138795,0.9,0.01,0.62,1245,13,854,CORDOBA
226,CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",ALIANZA CAMBIEMOS,54.36,2.25,3.29,17.56,1.89,20.65,36968,1532,2239,11942,1284,14043,81.05,85874,69603,1.21,0.03,1.05,842,24,729,CORDOBA
227,CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",ALIANZA CAMBIEMOS,34.11,0.78,1.2,32.45,0.85,30.61,965,22,34,918,24,866,73.78,3913,2887,1.52,0.0,0.48,44,0,14,CORDOBA
228,CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",ALIANZA CAMBIEMOS,50.77,2.65,2.18,19.08,1.89,23.44,38804,2027,1663,14580,1445,17913,80.96,95987,77714,1.04,0.02,0.59,807,17,458,CORDOBA
229,CORDOBA_TOTORAL,"Totoral, Cordoba",ALIANZA CAMBIEMOS,57.23,1.22,1.11,24.47,0.94,15.03,7225,154,140,3089,119,1897,81.26,15747,12796,0.93,0.0,0.41,119,0,53,CORDOBA
230,CORDOBA_TULUMBA,"Tulumba, Cordoba",ALIANZA CAMBIEMOS,39.77,1.01,1.3,32.68,1.03,24.21,3476,88,114,2856,90,2116,75.38,11821,8911,1.32,0.07,0.53,118,6,47,CORDOBA
231,CORDOBA_UNION,"Union, Cordoba",ALIANZA CAMBIEMOS,47.88,1.86,1.4,22.93,1.73,24.2,32837,1276,962,15726,1187,16600,78.33,88845,69596,1.0,0.01,0.44,693,9,306,CORDOBA
257,ENTRE RIOS_COLON,"Colon, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,34.15,1.02,1.95,36.71,2.0,24.17,12760,382,730,13715,746,9032,84.08,47536,39969,5.81,0.04,0.67,2324,14,266,ENTRE RIOS
258,ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,28.43,0.96,1.93,45.6,1.54,21.54,29532,993,2000,47364,1600,22374,84.01,129563,108849,3.66,0.04,0.89,3979,42,965,ENTRE RIOS
259,ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",ALIANZA CAMBIEMOS,45.8,1.11,1.49,33.41,1.59,16.6,13418,325,436,9786,467,4862,81.33,37472,30477,3.26,0.04,0.58,994,13,176,ENTRE RIOS
260,ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",ALIANZA CAMBIEMOS,47.88,0.69,1.26,37.65,0.99,11.52,21081,302,556,16576,438,5074,86.3,53189,45900,3.4,0.06,0.62,1561,26,286,ENTRE RIOS
261,ENTRE RIOS_FEDERAL,"Federal, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,38.38,0.5,1.57,50.36,1.01,8.17,6781,89,278,8898,179,1443,85.64,21850,18712,5.08,0.11,0.38,951,21,72,ENTRE RIOS
262,ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,23.13,1.29,1.32,51.5,0.61,22.15,2102,117,120,4679,55,2013,81.91,11628,9525,3.88,0.03,0.69,370,3,66,ENTRE RIOS
263,ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",ALIANZA CAMBIEMOS,43.1,1.17,1.91,33.33,1.52,18.97,14408,392,639,11142,508,6341,82.94,42265,35054,3.95,0.01,0.67,1385,5,234,ENTRE RIOS
264,ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",ALIANZA CAMBIEMOS,37.97,1.17,2.08,32.99,2.61,23.18,28305,875,1549,24589,1945,17282,85.81,90220,77414,2.97,0.05,0.68,2297,42,530,ENTRE RIOS
265,ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,33.27,0.66,0.97,49.86,0.83,14.41,2840,56,83,4256,71,1230,85.41,10390,8874,3.31,0.03,0.46,294,3,41,ENTRE RIOS
266,ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,37.36,0.72,0.94,47.65,0.96,12.37,15028,290,377,19168,385,4976,82.78,50996,42215,3.96,0.08,0.68,1672,33,286,ENTRE RIOS
267,ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",ALIANZA CAMBIEMOS,38.11,0.76,0.97,36.06,1.27,22.84,8559,170,218,8099,286,5129,85.54,28114,24048,6.19,0.07,0.34,1489,17,81,ENTRE RIOS
268,ENTRE RIOS_PARANA,"Parana, Entre Rios",ALIANZA CAMBIEMOS,41.45,1.05,1.9,33.27,3.21,19.12,83714,2112,3844,67191,6486,38618,84.21,249883,210437,3.08,0.06,0.89,6478,121,1873,ENTRE RIOS
269,ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,35.19,0.93,1.2,40.38,1.25,21.04,3920,104,134,4498,139,2344,86.44,13816,11942,5.94,0.07,0.72,709,8,86,ENTRE RIOS
270,ENTRE RIOS_TALA,"Tala, Entre Rios",ALIANZA CAMBIEMOS,41.03,1.08,1.43,37.53,1.55,17.38,6847,181,238,6263,259,2900,83.91,21104,17709,5.13,0.03,0.6,909,5,107,ENTRE RIOS
271,ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,35.79,1.15,2.51,36.12,2.73,21.7,21752,696,1528,21956,1661,13192,84.53,75057,63447,3.33,0.05,0.81,2114,34,514,ENTRE RIOS
272,ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",ALIANZA CAMBIEMOS,45.53,0.81,1.07,38.41,1.77,12.4,9646,172,227,8137,376,2627,85.7,25907,22203,3.94,0.05,0.6,875,10,133,ENTRE RIOS
273,ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),24.59,0.66,1.7,34.03,1.15,37.86,7011,188,485,9703,329,10795,81.87,36372,29779,3.56,0.04,0.65,1061,13,194,ENTRE RIOS
299,LA PAMPA_ATREUCO,"Atreuco, La Pampa",ALIANZA CAMBIEMOS,41.48,1.17,1.44,37.67,2.77,15.46,3113,88,108,2827,208,1160,86.69,9156,7937,4.88,0.04,0.54,387,3,43,LA PAMPA
300,LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,15.98,0.72,1.8,61.13,4.22,16.16,178,8,20,681,47,180,85.57,1379,1180,4.75,0.0,0.85,56,0,10,LA PAMPA
301,LA PAMPA_CAPITAL,"Capital, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,31.94,1.66,3.8,37.94,3.69,20.97,21388,1112,2544,25405,2468,14041,79.2,89325,70746,4.21,0.08,1.06,2981,59,748,LA PAMPA
302,LA PAMPA_CATRILO,"Catrilo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,38.29,1.45,1.25,41.68,0.79,16.55,1900,72,62,2068,39,821,87.11,6043,5264,5.0,0.27,0.47,263,14,25,LA PAMPA
303,LA PAMPA_CHALILEO,"Chalileo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,14.72,2.31,1.41,62.21,1.03,18.32,229,36,22,968,16,285,85.0,2106,1790,12.12,0.22,0.73,217,4,13,LA PAMPA
304,LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",ALIANZA CAMBIEMOS,40.56,1.79,1.25,36.13,1.73,18.53,3142,139,97,2799,134,1435,86.02,9773,8407,6.76,0.02,1.08,568,2,91,LA PAMPA
305,LA PAMPA_CHICAL CO,"Chical-Co, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,17.12,1.54,1.43,62.24,0.33,17.34,156,14,13,567,3,158,83.53,1202,1004,9.16,0.0,0.1,92,0,1,LA PAMPA
306,LA PAMPA_CONHELO,"Conhelo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,36.08,1.35,1.34,42.79,1.46,16.98,3682,138,137,4367,149,1733,84.57,12715,10753,4.47,0.01,0.6,481,1,65,LA PAMPA
307,LA PAMPA_CURACO,"Curaco, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,16.49,0.31,0.77,57.47,0.31,24.65,107,2,5,373,2,160,87.88,784,689,3.92,0.87,1.02,27,6,7,LA PAMPA
308,LA PAMPA_GUATRACHE,"Guatrache, La Pampa",ALIANZA CAMBIEMOS,50.8,0.92,1.54,26.77,1.64,18.33,2937,53,89,1548,95,1060,81.31,7449,6057,4.49,0.0,0.05,272,0,3,LA PAMPA
309,LA PAMPA_HUCAL,"Hucal, La Pampa",ALIANZA CAMBIEMOS,40.5,0.9,1.47,32.24,1.89,23.01,2255,50,82,1795,105,1281,84.04,6987,5872,4.67,0.09,0.43,274,5,25,LA PAMPA
310,LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,36.19,0.0,0.48,55.71,0.0,7.62,76,0,1,117,0,16,86.8,250,217,3.23,0.0,0.0,7,0,0,LA PAMPA
311,LA PAMPA_LIMAY MAHUIDA,"Limay Mahuida, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,26.51,1.73,0.29,54.18,0.29,17.0,92,6,1,188,1,59,79.13,460,364,4.67,0.0,0.0,17,0,0,LA PAMPA
312,LA PAMPA_LOVENTUE,"Loventue, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,28.28,1.42,1.83,46.92,1.62,19.93,1637,82,106,2716,94,1154,87.25,7312,6380,8.29,0.14,0.83,529,9,53,LA PAMPA
313,LA PAMPA_MARACO,"Maraco, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,29.25,2.58,2.64,33.94,3.02,28.56,11049,974,999,12822,1141,10789,81.79,49311,40331,5.23,0.14,0.97,2109,57,391,LA PAMPA
314,LA PAMPA_PUELEN,"Puelen, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,20.52,1.52,1.58,40.75,1.96,33.66,973,72,75,1932,93,1596,83.28,6895,5742,16.35,0.24,0.84,939,14,48,LA PAMPA
315,LA PAMPA_QUEMU QUEMU,"Quemu Quemu, La Pampa",ALIANZA CAMBIEMOS,40.97,1.36,1.73,31.58,1.34,23.03,2325,77,98,1792,76,1307,84.49,7111,6008,5.31,0.0,0.23,319,0,14,LA PAMPA
316,LA PAMPA_RANCUL,"Rancul, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,39.15,2.31,0.81,44.49,0.85,12.38,2859,169,59,3249,62,904,86.04,9011,7753,5.43,0.04,0.35,421,3,27,LA PAMPA
317,LA PAMPA_REALICO,"Realico, La Pampa",ALIANZA CAMBIEMOS,40.83,2.59,1.28,38.34,2.19,14.78,4454,282,140,4182,239,1612,83.92,13772,11557,5.15,0.0,0.46,595,0,53,LA PAMPA
318,LA PAMPA_TOAY,"Toay, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,31.2,1.15,2.82,41.03,2.79,21.01,2597,96,235,3415,232,1749,79.98,10874,8697,3.55,0.08,0.66,309,7,57,LA PAMPA
319,LA PAMPA_TRENEL,"Trenel, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,33.18,2.37,1.54,47.19,1.02,14.71,1232,88,57,1752,38,546,83.06,4705,3908,4.71,0.03,0.26,184,1,10,LA PAMPA
320,LA PAMPA_UTRACAN,"Utracan, La Pampa",ALIANZA CAMBIEMOS,35.39,1.53,2.13,31.46,1.73,27.76,3344,145,201,2973,163,2623,79.48,13158,10458,8.11,0.39,1.15,848,41,120,LA PAMPA
461,SANTA FE_BELGRANO,"Belgrano, Santa Fe",ALIANZA CAMBIEMOS,44.27,1.53,1.59,27.61,3.46,21.53,12917,447,464,8055,1010,6282,80.25,37477,30077,2.56,0.02,0.41,771,7,124,SANTA FE
462,SANTA FE_CASEROS,"Caseros, Santa Fe",ALIANZA CAMBIEMOS,43.52,2.22,2.67,23.11,4.14,24.33,23932,1223,1471,12710,2276,13379,80.28,70676,56739,2.27,0.02,0.79,1288,12,448,SANTA FE
463,SANTA FE_CASTELLANOS,"Castellanos, Santa Fe",ALIANZA CAMBIEMOS,45.38,1.27,1.94,25.27,3.25,22.9,49888,1397,2128,27787,3572,25172,79.78,141971,113270,2.02,0.01,0.91,2287,12,1027,SANTA FE
464,SANTA FE_CONSTITUCION,"Constitucion, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,31.93,1.87,2.84,34.71,3.67,24.98,18300,1074,1630,19895,2101,14319,80.93,73181,59222,2.4,0.1,0.71,1420,60,423,SANTA FE
465,SANTA FE_GARAY,"Garay, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,28.54,0.93,1.49,45.59,2.99,20.45,3578,117,187,5715,375,2564,73.77,17986,13269,4.24,0.14,1.15,563,18,152,SANTA FE
466,SANTA FE_GENERAL LOPEZ,"General Lopez, Santa Fe",ALIANZA CAMBIEMOS,41.74,3.2,2.1,27.38,3.04,22.53,51508,3954,2591,33785,3753,27801,78.25,162076,126824,2.05,0.01,0.65,2599,7,826,SANTA FE
467,SANTA FE_GENERAL OBLIGADO,"General Obligado, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,38.45,0.7,1.36,39.98,2.15,17.36,39395,719,1398,40962,2200,17787,76.39,138463,105765,2.29,0.01,0.82,2420,12,872,SANTA FE
468,SANTA FE_IRIONDO,"Iriondo, Santa Fe",ALIANZA CAMBIEMOS,36.37,1.77,2.41,31.15,4.3,24.01,15803,771,1046,13535,1867,10431,78.92,57200,45143,3.17,0.16,0.41,1429,74,187,SANTA FE
469,SANTA FE_LA CAPITAL,"La Capital, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,33.0,1.17,2.59,33.28,4.89,25.08,101736,3605,7974,102611,15065,77332,76.11,421922,321124,2.39,0.17,1.42,7674,552,4575,SANTA FE
470,SANTA FE_LAS COLONIAS,"Las Colonias, Santa Fe",ALIANZA CAMBIEMOS,48.07,1.39,1.36,22.2,3.32,23.66,31654,917,893,14617,2188,15580,80.56,84768,68293,2.81,0.0,0.77,1919,1,524,SANTA FE
471,SANTA FE_9 DE JULIO,"Nueve De Julio, Santa Fe",ALIANZA CAMBIEMOS,39.96,0.87,0.88,37.59,2.67,18.03,7040,153,155,6623,470,3177,73.63,24760,18232,2.59,0.01,0.76,473,2,139,SANTA FE
472,SANTA FE_ROSARIO,"Rosario, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,31.06,1.53,3.66,31.94,4.46,27.35,235635,11585,27785,242313,33874,207512,77.98,1013581,790379,2.58,0.06,1.37,20373,478,10824,SANTA FE
473,SANTA FE_SAN CRISTOBAL,"San Cristobal, Santa Fe",ALIANZA CAMBIEMOS,40.7,0.88,1.21,34.02,2.9,20.28,16831,364,502,14066,1200,8387,75.83,56596,42915,3.05,0.0,0.59,1311,1,253,SANTA FE
474,SANTA FE_SAN JAVIER,"San Javier, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,34.82,0.8,1.16,44.45,2.52,16.26,6504,150,216,8304,470,3037,75.06,26017,19528,3.45,0.01,0.88,674,2,171,SANTA FE
475,SANTA FE_SAN JERONIMO,"San Jeronimo, Santa Fe",ALIANZA CAMBIEMOS,35.25,1.31,1.9,34.71,3.53,23.31,17603,652,950,17333,1761,11640,78.48,66496,52185,3.18,0.39,0.73,1660,203,383,SANTA FE
476,SANTA FE_SAN JUSTO,"San Justo, Santa Fe",ALIANZA CAMBIEMOS,42.68,0.96,1.48,31.92,3.3,19.66,11045,248,382,8259,854,5088,76.59,35064,26857,2.84,0.01,0.8,763,4,214,SANTA FE
477,SANTA FE_SAN LORENZO,"San Lorenzo, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,31.33,1.58,2.44,32.74,3.48,28.43,33237,1674,2590,34739,3693,30160,80.59,136481,109995,2.55,0.0,0.99,2806,4,1092,SANTA FE
478,SANTA FE_SAN MARTIN,"San Martin, Santa Fe",ALIANZA CAMBIEMOS,43.58,1.5,1.81,24.7,3.52,24.9,17690,608,733,10026,1429,10106,79.0,53154,41994,2.29,0.0,1.04,962,2,438,SANTA FE
479,SANTA FE_VERA,"Vera, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,34.35,0.91,1.22,43.13,2.46,17.93,10062,266,356,12633,721,5251,72.05,42224,30423,3.04,0.01,0.68,926,2,206,SANTA FE
