,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
496,SANTIAGO DEL ESTERO_OJO DE AGUA,"Ojo De Agua, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,17.17,0.49,0.71,69.44,0.49,11.7,1726,49,71,6979,49,1176,80.53,12600,10147,0.66,0.03,0.27,67,3,27,SANTIAGO DEL ESTERO
497,SANTIAGO DEL ESTERO_PELLEGRINI,"Pellegrini, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,10.64,0.49,0.4,79.41,0.36,8.69,1314,61,49,9802,45,1073,77.53,16087,12473,0.9,0.02,0.11,112,3,14,SANTIAGO DEL ESTERO
498,SANTIAGO DEL ESTERO_QUEBRACHOS,"Quebrachos, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,17.24,0.6,0.79,65.9,0.72,14.74,999,35,46,3818,42,854,76.67,7663,5875,1.0,0.0,0.37,59,0,22,SANTIAGO DEL ESTERO
499,SANTIAGO DEL ESTERO_RIO HONDO,"Rio Hondo, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,8.26,0.47,1.36,71.72,0.72,17.47,2888,164,476,25069,250,6108,80.45,44312,35648,1.2,0.1,0.65,427,35,231,SANTIAGO DEL ESTERO
500,SANTIAGO DEL ESTERO_RIVADAVIA,"Rivadavia, Santiago Del Estero",ALIANZA CAMBIEMOS,42.74,0.44,1.03,40.8,0.97,14.02,1366,14,33,1304,31,448,81.38,3963,3225,0.84,0.0,0.06,27,0,2,SANTIAGO DEL ESTERO
501,SANTIAGO DEL ESTERO_ROBLES,"Robles, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,11.92,0.52,0.87,70.51,0.69,15.5,3298,145,240,19513,191,4289,80.7,34867,28136,1.27,0.02,0.35,357,5,98,SANTIAGO DEL ESTERO
502,SANTIAGO DEL ESTERO_SALAVINA,"Salavina, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,8.9,0.41,0.36,82.86,0.28,7.19,546,25,22,5082,17,441,74.77,8288,6197,0.87,0.02,0.15,54,1,9,SANTIAGO DEL ESTERO
503,SANTIAGO DEL ESTERO_SAN MARTIN,"San Martin, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,6.65,0.54,0.6,83.52,0.37,8.32,344,28,31,4319,19,430,75.75,6896,5224,0.9,0.0,0.11,47,0,6,SANTIAGO DEL ESTERO
504,SANTIAGO DEL ESTERO_SARMIENTO,"Sarmiento, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,6.69,0.56,0.47,81.35,0.73,10.19,155,13,11,1884,17,236,77.05,3041,2343,1.02,0.0,0.13,24,0,3,SANTIAGO DEL ESTERO
505,SANTIAGO DEL ESTERO_SILIPICA,"Silipica, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,6.37,0.35,0.54,83.41,0.35,8.99,345,19,29,4520,19,487,81.32,6756,5494,1.09,0.04,0.24,60,2,13,SANTIAGO DEL ESTERO
